,movie_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
607,1683,movie,Lives and Deaths of the Poets,Lives and Deaths of the Poets,0,2011,\N,93,Comedy
608,1684,movie,Headhunter: The Assessment Weekend,Headhunter: The Assessment Weekend,0,2010,\N,93,Thriller
609,1685,movie,Justice League,Justice League,0,2017,\N,120,"Action,Adventure,Fantasy"
610,1686,movie,Black Limousine,The Land of the Astronauts,0,2010,\N,102,Drama
611,1687,movie,Hitchcock,Hitchcock,0,2012,\N,98,"Biography,Drama"
612,1688,movie,Sinatra Club,Sinatra Club,0,2010,\N,88,"Action,Biography,Crime"
613,1689,short,Detention,Detention,0,2012,\N,16,"Adventure,Comedy,Horror"
614,1690,movie,Boyle Heights,Boyle Heights,0,2010,\N,101,Action
615,1691,movie,Chooriyan,Chooriyan,0,2015,\N,\N,"Drama,Musical,Romance"
616,1692,movie,Fair Game,Fair Game,0,2010,\N,108,"Biography,Drama,Thriller"
617,1693,videoGame,Red Steel 2,Red Steel 2,0,2010,\N,\N,"Action,Western"
618,1694,movie,Sucker Punch,Sucker Punch,0,2011,\N,110,"Action,Fantasy"
619,1695,movie,Have You Heard from Johannesburg: Free at Last,Have You Heard from Johannesburg: Free at Last,0,2010,\N,78,Documentary
620,1696,tvSeries,Boardwalk Empire,Boardwalk Empire,0,2010,2014,55,"Crime,Drama,History"
621,1697,movie,Lottery Ticket,Lottery Ticket,0,2010,\N,99,Comedy
622,1698,movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,0,2010,\N,113,"Adventure,Family,Fantasy"
623,1699,movie,Four,Four,0,2012,\N,75,"Drama,Romance"
624,1700,movie,Heredity,Heredity,0,2010,\N,\N,"Horror,Thriller"
625,1701,movie,Funkytown,Funkytown,0,2011,\N,132,Drama
